op_id,onet_n_tasks,esco_n_items_llm,esco_pct_of_corpus,centroid_agree_n,centroid_agree_pct,centroid_top2_agree_pct,llm_conf_high,llm_conf_medium,llm_conf_low,centroid_cos_top1_median
analysis,1732,679,11.65,198,29.2,43.7,401,255,23,0.43030959367752075
design,992,664,11.4,231,34.8,65.4,569,90,5,0.4454922080039978
fabrication,505,544,9.34,291,53.5,71.9,272,171,101,0.4373280107975006
inspection,963,514,8.82,266,51.8,71.6,445,68,1,0.45806920528411865
advising,403,508,8.72,131,25.8,45.5,258,190,60,0.4535754323005676
coordination,603,496,8.51,130,26.2,46.8,363,122,11,0.47848647832870483
administration,1517,441,7.57,161,36.5,56.5,176,238,27,0.45253652334213257
protocol_execution,735,328,5.63,93,28.4,61.9,198,125,5,0.440017431974411
record_keeping,882,297,5.1,124,41.8,63.0,220,66,11,0.45384615659713745
representation,615,292,5.01,178,61.0,79.1,227,60,5,0.43921995162963867
teaching,814,254,4.36,155,61.0,83.1,201,42,11,0.4628344178199768
creative_production,543,185,3.18,149,80.5,91.4,109,64,12,0.42336705327033997
rule_enforcement,30,128,2.2,17,13.3,15.6,95,30,3,0.4367438554763794
troubleshooting,902,120,2.06,33,27.5,38.3,72,43,5,0.45308834314346313
appraisal,453,116,1.99,40,34.5,51.7,79,35,2,0.4327930808067322
self_study,186,75,1.29,27,36.0,50.7,44,27,4,0.45265498757362366
emergency_response,212,50,0.86,44,88.0,90.0,38,10,2,0.5330734252929688
investigation,377,39,0.67,25,64.1,79.5,33,6,0,0.4845799207687378
